tweet_id,text,response_text,intent,expected_decision,decision_reason
969803,@AmazonHelp No need.. You've lost a customer,@350165 I'm so sorry for this experience. We will consider this instance as feedback and ensure to pass it on internally. ^MP,,,
2786276,"@AmazonHelp Ovvio, se mi arriva tutto entro la data stabilita decisamente sì 👍",@762934 Restiamo a tua disposizione! 😊 ^EA,,,
1249690,@AmazonHelp I thought the “B” in the claim code was an “8.” 🤦🏼‍♂️ #fixedit https://t.co/phYr7mQ1rS,@413206 Woohoo! That's great news! It's what we're here for so don't hesitate to reach out anytime. ^RM,,,
223932,@AmazonHelp It says delivering today but it also said that yesterday. I'm just not impressed that Amazon says prime 2 day but it's not.,@169506 Please keep us updated on its arrival! ^ZW,,,
2794249,"@AmazonHelp One tomorrow, and one later this week. The shipping status changes depending on what screen I’m on when checking order status.  Just seemed odd that my last two ordered have been having shipping issues. Totally a first world problem that is probably resolvable if I wait a day lol",@779780 I certainly understand your concern. Items can ship anytime between the order date and delivery date. Have we missed the delivery dates stated in your confirmation e-mail: https://t.co/L9Xapfj5TD? ^GM,,,
2686011,"@AmazonHelp Hey my order of Wolfenstein 2 ""Welcome to Amerika"" Pack has not dispatched in 4 days and was supposed to dispatch yesterday",@755357 I'm sorry your order has been delayed! Have you received any e-mails containing a new delivery date? We're here to help! ^ML,,,
2519271,"@AmazonHelp Packages from 13 th and 15th showed up today. Took one, guy shows up 15 minutes later with second. Will be returning it via Canada Post.  Like even delivery of both boxes of same address at once us problem. How do they organize their work- intelcom people?","@717607 I'm sorry your packages arrived so late, Carol! Have you had an opportunity to personally discuss this with us? We'd like to document your feedback about the courier and your recent experience: https://t.co/dRurnuCDos ^PF",,,
2689361,@AmazonHelp It's not been delivered to a neighbour. What if they don't return it?,@738317 We'd like to look more into this! Please select 'Prime and more' in the first step in the link provided. Then 'other non-order questions' and 'something else' in step 2. Step 2 will provide contact options. ^CS,,,
2722177,@AmazonHelp Ah ok. Haven’t used a new card recently tho. I’ll keep an eye on it. Thanks,"@763722 No worries, keep us posted! ^CH",,,
1391164,"I am having incredible difficulty in getting any satisfaction from you, @115830 I have been trying since Thursday with no luck!!","@443566 I'm sorry that we've let you down! Without any personal or account info, can you tell us what's going on? ^TR",,,
1860175,"@115821 Please fix your iOS apps. I am a software developer. ""Something went wrong"" is NOT an acceptable error message!","@132434 Hi Randy, what app are you referring to? When does the error message appear, just when you are browsing, going through the checkout, etc?^MA",,,
1598452,@115850 i want to contact with Amazon plz how to call at your customer care,@384810 You can reach out to our support team here:https://t.co/vlvfJr4nN9 for any assistance. ^EM,,,
1152636,"@AmazonHelp De recibirlo el 24 a lo mejor recibirlo el 27 con suerte. No es un día son 4, eso si llega mañana.",@391227 Lamentamos esto. Puedes reportarlo a nuestro Servicio al Cliente. Accesa este enlace: https://t.co/KyKcfqiS0j ^JJ,,,
17682,"@AmazonHelp Oh you are so considerate, then why can't you treat the orders you take with same consideration, #Awful customer service",@119907 We'd like to help with that. Kindly drop in your details using the link provided above and we'll reach out to you. ^AB,,,
1424184,"@AmazonHelp Yes i should wait and listen whatever you say and for your mistake , don't talk like professional it doesn't suits you guys","@450932 We are working on this, Santosh. Please allow us some time so that we can help you in the best possible way. ^KS",,,
2722696,翌日配達とかAmazonさん有能…楽しみが増えたので、明日仕事がんばる(*´-`),@763814 Amazonをご利用いただきありがとうございます🙇　お仕事がんばってくださいねΣd(*`･∀･´*)　SM,,,
2767558,@AmazonHelp Yes I have,"@773896 Oh no!  I am so sorry to hear about this, Louise!  Please reach out to us at https://t.co/JzP7hlA23B so we can track your parcel and see what insight or options we can offer.  Thank you!  ^WB",,,
724577,"@AmazonHelp Danke für die Antwort, werde ich sofort erledigen 😀👍","@293545 Immer wieder gerne! Und nimm bitte ALF die Flasche weg...kann nicht sehen, wir er leidet und so daliegt... ^DW",,,
1480819,@AmazonHelp My account is still locked. My prime membership has been cancelled. Why i paid money if you had to cancel my membership @416512,@463845 You should have received an email. Please check and reply to it for further insight. ^RW,,,
